ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID.1,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
1,"The best way to protect yourself is to get vaccinated and boosted when recommended.Continue wearing masks � especially in crowded indoor spaces. And for the indoors, keep the air fresh by opening windows and doors, and invest in good ventilation.#COVID19 is not over yet. https://t.co/GiGOWGDWCz",DrTedros,,0,1,COVID19,,1.5143560557944586e+18,2022-04-13 21:33:13+00:00,0.936,0.6000000000000001,690,348,220,0,2
2,"How can anyone defend mask mandates on planes because of #COVID19, but at the same time support illegal immigrants freely entering the United States after being exposed to COVID?",JudiciaryGOP,,0,0,COVID19,,1.5142980893639352e+18,2022-04-13 17:42:53+00:00,0.6956,0.475,2732,458,345,0,2
3,"This is only nominally about the #GridironDinner. It's about how we are slipping into a #COVID19 public health apartheid, where those with privilege will go back to normal, those at high-risk will be on their own, abandoned by their country.  https://t.co/IFpggdWxg5",gregggonsalves,https://www.thenation.com/article/society/covid-media-gridiron-dinner/,1,0,GridironDinner COVID19,,1.5145669366377226e+18,2022-04-14 11:31:11+00:00,-0.128,0.4694444444444444,674,211,31,1,1
4,This new study on household transmission of #COVID19 from Canada is pretty interesting-Children made up less than half index case-Adults odds of transmitting more than double vs childre-Mask use in household didn't reduce transmission1 https://t.co/xReWWAHIoS,apsmunro,https://www.cmajopen.ca/content/10/2/E357,1,0,COVID19,,1.5145836693101158e+18,2022-04-14 12:37:41+00:00,0.7096,0.383982683982684,452,163,17,0,2
5,"Lauded contribution of pharma sector in fight against #COVID19 at the Annual Conclave of Indian Drug Manufacturers' Association. Being the pharmacy of the world &amp; guided by mantra of Vasudaiva Kutumbakam, we also supplied medicines &amp; COVID-19 vaccines to various nations. https://t.co/5dEpnlqC4E",mansukhmandviya,,0,1,COVID19,,1.5145194943364751e+18,2022-04-14 08:22:40+00:00,-0.3818,0.5,193,95,18,0,0
6,"Dear Ontario: a reminder that a ""plateau"" of 100k daily cases of #Covid19 is still a ton. Cause for guarded optimism? Sure. Validation for unsafe practices? Not so much. Masks, 3rd/4th vaccines, ventilation awareness - they all still matter! #WeNotMe https://t.co/ikTHDt0AvO",SharkawyMD,,0,1,Covid19 WeNotMe,,1.5146495804738355e+18,2022-04-14 16:59:35+00:00,0.8463,0.4222222222222222,674,156,88,0,2
7,Life very far from normal for the families of 21 people reported in nsw today to have died �with covid� - half had had 3 vaccines #COVID19,DeborahSnow,,0,0,COVID19,,1.5144160329074156e+18,2022-04-14 01:31:33+00:00,-0.5574,0.6055555555555555,399,112,14,0,0
8,Day 12. Results positive. Friend�s family also sick with #COVID19. They stopped isolating at 5 days. The �rules� allow contagious people back to school/work. @OttawaHealth people need RATs for retesting (+ve means still a risk to others!) and we need broad mask mandates indoors. https://t.co/2uTITbPnWe,nilikm,,0,1,COVID19,OttawaHealth,1.514588326564614e+18,2022-04-14 12:56:11+00:00,-0.5411,0.4287743506493506,712,143,88,0,0
9,"FDA says it authorizes first #covid19 diagnostic test using breath samples, with results in less than three minutes: https://t.co/egpvPa96J1 https://t.co/f7u0rVSzed",megtirrell,https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-fda-authorizes-first-covid-19-diagnostic-test-using-breath-samples?utm_medium=email&utm_source=govdelivery,1,1,covid19,,1.5147099786570465e+18,2022-04-14 20:59:35+00:00,0.0,0.1999999999999999,200,82,5,1,1
10,"Contrary to the hysteria generated by some pundits many of whom have no medical training case numbers have plateaued. Those who aren't doctors need to stop playing doctor. They are causing more harm than good. #COVID19 https://t.co/cxymJTFpuj,DrJacobsRad,https://www.cp24.com/mobile/news/covid-19-infections-in-ontario-appear-to-have-plateaued-head-of-science-table-1.5861485,yes,no,COVID19,,1514625075550601223,2022-04-14 15:22:13+00:00,-0.7294,0.4,587,129,47,Misinformation,negative

11,-Fauci was wrong about #COVID. -The 51 �intelligence� officials were wrong about Hunter Biden. -The National School Boards Association was wrong about parents. Americans are tired of the �experts.�""",Jim_Jordan,,0,0,COVID,,1.5142937829210683e+18,2022-04-13 17:25:46+00:00,-0.9042,0.8500000000000001,19610,4015,2321,0,0
12,Never have I had more friends colleagues &amp; acquaintances calling me for advice after their children brought home #COVID from school. Kids are missing school. Parents are missing work. The vulnerable among us are at higher risk for exposure. Masks should stay on in school.,drmwarner,,0,0,COVID,,1.514273928721711e+18,2022-04-13 16:06:53+00:00,-0.4601,0.32,5416,1091,685,0,0
13,Feel the need to tweet this again. #covid #rules #law https://t.co/HCXNykLOW5,ShelaghFogarty,https://twitter.com/g__ferris/status/1246475565072371712,1,0,covid rules law,,1.5145058237367132e+18,2022-04-14 07:28:21+00:00,0.0,0.0,512,140,25,1,1
14,A new film The Color of Care from @Oprah and @yford will chronicle an urgent crisis � people of color in the US suffer from substandard healthcare and #COVID has amplified the tragic consequences of these inequities. Watch on Smithsonian Channel on May 1. #TheColorOfCare https://t.co/VbyeKm6s4h,SmithsonianChan,,0,1,COVID TheColorOfCare,Oprah yford,1.5146838177973412e+18,2022-04-14 19:15:38+00:00,-0.765,0.6022727272727273,150,45,13,0,0
15,#COVID is over for illegal immigrants at the southern border. But not for Americans flying on planes. https://t.co/Nd9KjVs07e,JudiciaryGOP,https://twitter.com/ZekeJMiller/status/1514255657511358466,1,0,COVID,,1.5142717686005307e+18,2022-04-13 15:58:18+00:00,-0.3182,0.25,699,179,115,1,1
57,Cannabis Decriminalization Deserves President Joe Biden's Support #decriminalization #law #JoeBiden #Politics #Prohibition #Possession https://t.co/01dDsXM8iB https://t.co/085ijv4Ujr,CannabisCulture,https://bit.ly/373X2Hw,1,1,decriminalization law JoeBiden Politics Prohibition Possession,,1.5133268220371e+18,2022-04-11 01:23:25+00:00,0.4019,0.0,89,19,8,1,2
58,"Hindu nationalist violence in India against religious minorities -- much of it state-sponsored -- is the most important news story in India right now. This matters a lot for those in the US too, and here's some reasons why. https://t.co/iDSmj9Z4VI #Hindutva #BJP #Modi #violence",AudreyTruschke,https://thewire.in/communalism/madhya-pradesh-khargone-ram-navami-muslims,1,0,Hindutva BJP Modi violence,,1.51458602502008e+18,2022-04-14 12:47:02+00:00,-0.7895,0.497142857142857,424,228,1,0,0
